url,title,description,h1,lead,service,category,country_hint,problems,fixes,errors,faq1_q,faq1_a,faq2_q,faq2_a,extra_html,noindex
/brands/nordvpn-android-setup-2025/,"NordVPN на Android: настройка и ошибки (2025)","Правильная установка NordVPN на Android: NordLynx/OpenVPN, обфускация, DNS, kill switch.","NordVPN на Android — полная настройка","Включите NordLynx для скорости, при блоках — OpenVPN TCP/443 и обфускация, задайте ручной DNS.","NordVPN на Android","other","Россия","Не подключается|Профиль VPN не появляется|Работает только по Wi-Fi|Медиа не грузится|Высокий пинг","NordLynx↔OpenVPN|TCP/443 при DPI|Obfuscated Servers|Kill Switch|DNS 1.1.1.1/8.8.8.8","AUTH FAILED|Timeout|DNS error|TLS handshake","Почему по мобильной сети хуже чем по Wi-Fi?","Операторы сильнее фильтруют мобильный трафик — помогает TCP/443 и обфускация.","Нужно ли держать автоподключение всегда?","Да для стабильности, но добавьте исключения для банковских приложений.",,"no"
/brands/nordvpn-macos-setup-2025/,"NordVPN на macOS: установка и фиксы (2025)","Как поставить NordVPN на macOS: разрешения, протоколы, split tunneling, DNS.","NordVPN на macOS — полная настройка","Выберите NordLynx, при DPI — OpenVPN TCP/443; проверьте разрешения и DNS.","NordVPN на macOS","other","Россия","Не коннектится|Нет интернета после подключения|DNS-утечки|403 на сайтах","NordLynx↔OpenVPN|TCP/443|Split tunneling|Сброс DNS (dscacheutil)|Смена узла","DNS_PROBE|Auth failed|Proxy detected|Handshake failed","Как проверить, что трафик идёт через VPN?","Сравните внешний IP и выполните traceroute.","Почему 403 на сайтах?","IP в бан-листах — смените город или страну.",,"no"
/brands/surfshark-android-setup-2025/,"Surfshark на Android: настройка и ошибки (2025)","Camouflage/NoBorders, WireGuard/OpenVPN, DNS и исключения приложений.","Surfshark на Android — полная настройка","Включите Camouflage/NoBorders, выберите ближние EU-узлы, настройте DNS и split tunneling.","Surfshark на Android","other","Россия","Не подключается|Сообщения и звонки тормозят|Работает только по Wi-Fi|DNS-ошибки","WireGuard↔OpenVPN|Camouflage/NoBorders|TCP/443|DNS 1.1.1.1|Split tunneling","Timeout|DNS error|Call failed|Reset","Чем Camouflage отличается от NoBorders?","Оба маскируют трафик; NoBorders подбирает узлы для сложных сетей.","Как снизить лаги в звонках?","Выберите ближний узел и закройте фоновые загрузки.",,"no"
/brands/surfshark-macos-setup-2025/,"Surfshark на macOS: установка и фиксы (2025)","Настройка Surfshark на Mac: протоколы, TCP/443, DNS, обход DPI, пермишены.","Surfshark на macOS — полная настройка","Переключите протоколы, используйте TCP/443 при DPI, исправьте DNS-утечки.","Surfshark на macOS","other","Россия","Не коннектится|Нет сети после коннекта|Буферизация|DNS-утечки","WireGuard↔OpenVPN|TCP/443|Очистка кэша/DNS|Разрешения в Security & Privacy","DNS_PROBE|Auth failed|Playback error|TLS","Нужен ли отдельный DNS на Mac?","Да, это снижает риск перехвата провайдером.","Можно ли исключить банковские сайты?","Через split tunneling в клиенте.",,"no"
/brands/expressvpn-android-setup-2025/,"ExpressVPN на Android: настройка и ошибки (2025)","Lightway/OpenVPN, обфускация, TCP/443, DNS и автоподключение.","ExpressVPN на Android — полная настройка","Используйте Lightway для скорости, при DPI — OpenVPN TCP/443 и другой город.","ExpressVPN на Android","other","Россия","Не подключается|Медиа не грузится|Звонки не проходят|Высокий пинг","Lightway↔OpenVPN|TCP/443|Обфускация|DNS 1.1.1.1|Auto-connect","Timeout|Call failed|DNS error|Handshake","Когда выбирать Lightway?","Если важна скорость и стабильность; при фильтрации — TCP/443.","Как улучшить звонки?","Ближний узел, 5 ГГц и нет фоновых загрузок.",,"no"
/brands/expressvpn-macos-setup-2025/,"ExpressVPN на macOS: установка и фиксы (2025)","Установка на Mac: Lightway/OpenVPN, TCP/443, DNS и разрешения драйвера.","ExpressVPN на macOS — полная настройка","Выберите Lightway, при блоках — OpenVPN TCP/443, проверьте сетевые разрешения.","ExpressVPN на macOS","other","Россия","Не стартует туннель|Нет интернета|DNS-утечки|Ошибка прокси","Lightway↔OpenVPN|TCP/443|Сброс DNS|Очистка кэша/перелогин|Смена локации","Proxy detected|DNS_PROBE|Auth failed|TLS","Как понять, что виноват DPI?","UDP рвётся, TCP/443 чаще проходит.","Что делать при прокси-ошибке?","Смените город/страну и очистите кэш/DNS.",,"no"
/brands/proton-vpn-android-setup-2025/,"Proton VPN на Android: настройка и ошибки (2025)","Secure Core, WireGuard/OpenVPN/IKEv2, NetShield и DNS.","Proton VPN на Android — полная настройка","Отключайте/включайте Secure Core по ситуации, выбирайте ближние EU-узлы, настройте DNS.","Proton VPN на Android","other","Россия","Не подключается|Медиа не грузится|Пинг скачет|DNS-ошибки","WireGuard/OpenVPN/IKEv2|Secure Core вкл/выкл|TCP/443|DNS 1.1.1.1","Timeout|DNS error|Auth failed|Reset","Secure Core держать всегда?","Только при жёсткой фильтрации — скорость падает.","NetShield мешает сайтам?","Редко, но отключите для теста.",,"no"
/brands/proton-vpn-macos-setup-2025/,"Proton VPN на macOS: установка и фиксы (2025)","Инсталляция на Mac: протоколы, Secure Core, TCP/443 и устранение DNS-утечек.","Proton VPN на macOS — полная настройка","Подберите протокол, при DPI — TCP/443, проверьте DNS и разрешения.","Proton VPN на macOS","other","Россия","Не коннектится|Нет сети|DNS-утечки|Ошибка прокси","WireGuard/OpenVPN/IKEv2|Secure Core вкл/выкл|TCP/443|Сброс DNS","DNS_PROBE|Proxy detected|Auth failed|TLS","Как подтвердить маршрут?","traceroute до публичного хоста до/после подключения.","Почему прокси-ошибка?","Диапазон IP в бан-листе — смените город/страну.",,"no"
/brands/cyberghost-android-setup-2025/,"CyberGhost на Android: настройка и ошибки (2025)","WireGuard/OpenVPN, TCP/443, выбор EU-локаций, DNS и разделение трафика.","CyberGhost на Android — полная настройка","Включите TCP/443 при DPI, выберите DE/NL/RO и задайте DNS вручную.","CyberGhost на Android","other","Россия","Не подключается|Медленно|Работает только по Wi-Fi|DNS-сбой","WireGuard↔OpenVPN|TCP/443|DE/NL/RO|DNS 1.1.1.1/8.8.8.8|Split tunneling","Timeout|DNS error|Auth failed|Reset","Нужны ли «стриминговые» серверы?","Иногда помогают, но при банах меняйте города.","Как снизить расход батареи?","NordLynx/WG и ближний узел обычно экономнее.",,"no"
/brands/cyberghost-macos-setup-2025/,"CyberGhost на macOS: установка и фиксы (2025)","Настройка на Mac: протоколы, TCP/443, DNS, разрешения и прокси-ошибки.","CyberGhost на macOS — полная настройка","Подбирайте протокол, чистите кэш/DNS, меняйте локации при прокси-ошибках.","CyberGhost на macOS","other","Россия","Не коннектится|Нет интернета|DNS-утечки|Proxy detected","WireGuard/OpenVPN|TCP/443|Сброс DNS|Очистка кэша/перелогин|Смена города","DNS_PROBE|Proxy detected|Auth|TLS","Почему 403 на сайтах?","Общие IP в бан-листах — меняйте города/страны.","Поможет ли TCP/443?","Да, чаще проходит DPI.",,"no"
